timestamp,city,aqi,weather_icon,wind_speed,humidity
2025-03-19T15:01:55.428080+07:00,Hồ Chí Minh,68,/dl/web/weather/ic-w-02-new-clouds-full.svg,14.8 km/h,38%
2025-03-19T16:01:58.581877+07:00,Hồ Chí Minh,67,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,13.0 km/h,40%
2025-03-19T17:01:52.581816+07:00,Hồ Chí Minh,69,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,9.7 km/h,49%
2025-03-19T18:01:38.483764+07:00,Hồ Chí Minh,71,/dl/web/weather/ic-w-02-new-clouds-full.svg,9.7 km/h,64%
2025-03-19T19:01:58.297049+07:00,Hồ Chí Minh,67,/dl/web/weather/ic-w-04-scattered-clouds-full.svg,16.7 km/h,65%
2025-03-19T20:07:54.961069+07:00,Hồ Chí Minh,84,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,9.2 km/h,67%
2025-03-19T21:01:59.667358+07:00,Hồ Chí Minh,84,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,9.2 km/h,67%
2025-03-19T22:01:59.372217+07:00,Hồ Chí Minh,102,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,9.2 km/h,67%
2025-03-19T23:01:56.480734+07:00,Hồ Chí Minh,97,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,17.7 km/h,63%
2025-03-20T00:01:54.332705+07:00,Hồ Chí Minh,90,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,11.1 km/h,63%
2025-03-20T01:02:01.438664+07:00,Hồ Chí Minh,82,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,11.1 km/h,63%
2025-03-20T02:01:44.976899+07:00,Hồ Chí Minh,80,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,9.2 km/h,65%
2025-03-20T04:01:44.785984+07:00,Hồ Chí Minh,82,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,7.4 km/h,67%
2025-03-20T05:01:55.685450+07:00,Hồ Chí Minh,86,/dl/web/weather/ic-w-10-night-clear-sky-full.svg,8.0 km/h,67%
